date,経済成長率,失業率,雇用コスト指数の伸び率,平均時給の伸び率,インフレ期待,消費者物価の上昇率,消費者物価の上昇率（食品・エネルギー除く）,卸売り物価（PPI）の上昇率,個人消費の伸び,新車販売台数(百万台),小売り在庫／販売の比率,住宅価格の上昇率（前年同月比）,新規住宅着工件数
2014/09/01,0.3396807393458367,0.15236378578339121,-0.16859007481019977,-0.5857167208277528,0.2231547145407545,-0.2832454866747174,-0.29540031085641166,-0.24664320146075527,-0.14902145367022893,0.48862729355510187,-0.34379167332820504,-0.09322863743312292,-0.2363462835350942
2014/10/01,-0.08388397107610726,0.24238310832208132,-0.8031129269222943,-0.38255014094342965,-0.22101609359700078,-0.33077437235785223,-0.21331152318230226,-0.3585421049344756,0.23904614415722933,0.3951012310088692,-0.34379167332820504,-0.11545092140145376,-0.1877242680506873
2014/11/01,-0.08388397107610726,0.19737344705273646,-0.8031129269222943,0.12478772208756424,-0.3368867391981546,-0.5719083061402085,-0.21592242038261084,-0.44351344380857716,0.045012345243500215,0.48402009835578097,-0.34379167332820504,-0.12054534525564446,-0.2878284175774074
2014/12/01,-0.08388397107610726,0.28739276959142657,-0.8031129269222943,-0.5857167208277528,-0.8675216275761658,-0.9408674817823796,-0.26842435671584375,-0.7765190474042668,-0.019665587727742816,0.5895248684202502,-0.43182137514926755,-0.13227670042372944,-0.2506468763246256
2015/01/01,0.13520122396972578,0.24238310832208132,0.7389885969150598,0.22398246001765493,-1.1277038954260292,-1.5041597504230066,-0.24547894551281316,-1.2510506135525445,-0.019665587727742816,0.46697347611828904,-0.5198510769703301,-0.16490547589648374,-0.3164296031564703
2015/02/01,0.13520122396972578,0.3324024308607714,0.7389885969150598,-0.08129181161226608,-0.8140908454239597,-1.413005256234945,-0.25125371941120994,-1.4382617559286854,-0.019665587727742816,0.4591412442794422,-0.6078807787913925,-0.18033917511614267,-0.09334035563977978
2015/03/01,0.13520122396972578,0.3774120921301163,0.7389885969150598,0.018371802411921122,-0.6792318284742912,-1.3715421457189307,-0.22418094252510112,-1.4941230507271266,-0.019665587727742816,0.9194000446916913,-0.43182137514926755,-0.17142181178102434,-0.2506468763246256
2015/04/01,-0.010855572727496267,0.3774120921301163,-2.0507591341018174,-0.08352557731329259,-0.40008890952605636,-1.4238491225199328,-0.12311489672499407,-1.6180138686068384,-0.019665587727742816,0.8249525431055948,-0.5198510769703301,-0.16921826643436524,0.018204268118565473
2015/05/01,-0.010855572727496267,0.28739276959142657,-2.0507591341018174,0.11593853055264909,-0.3788898482285727,-1.3351411413700085,-0.11717080148366102,-1.4270261019835218,0.045012345243500215,0.9428967402082336,-0.43182137514926755,-0.1597469313256465,0.3213768352566321
2015/06/01,-0.010855572727496267,0.42242175339946153,-2.0507591341018174,-0.3858060156210643,-0.37770480753492547,-1.2429410931409905,-0.04159899012441845,-1.3499794125588915,-0.08434352069898586,0.9134106909325739,-0.43182137514926755,-0.1592863445895557,0.6274095209526049
2015/07/01,-0.15691236942471828,0.4674314146688064,-0.2094294938493709,-0.2860907479318353,-0.5080592838362226,-1.213525137456308,0.0005972468967415246,-1.392613147598175,0.10969027821474328,1.1087557673838186,-0.43182137514926755,-0.1507317369930326,-0.056158814386998025
2015/08/01,-0.15691236942471828,0.5124410759381517,-0.2094294938493709,0.3120829756464207,-1.1148753596630436,-1.2035627355463445,0.06186898633056449,-1.4664596902936873,0.045012345243500215,1.1557491584169015,-0.5198510769703301,-0.13885890402893394,0.015344149560659184
2015/09/01,-0.15691236942471828,0.5574507372074965,-0.2094294938493709,-0.4863188881194043,-1.3714460749227415,-1.3518477032462826,0.2185405086386705,-1.6220861969181422,-0.08434352069898586,1.094012742745989,-0.695910480612455,-0.10506077158922607,-0.04471834015537288
2015/10/01,-0.2591521271127737,0.5574507372074965,-0.8319524253712496,0.3085075089141015,-1.441796109752014,-1.2760829441945842,0.324018702193976,-1.5412486868637376,-0.08434352069898586,1.093552023226056,-0.87196988425458,-0.06848982602093626,0.0010435567711277417
2015/11/01,-0.2591521271127737,0.5124410759381517,-0.8319524253712496,-0.18970313337063877,-1.2333596288491862,-1.0791645482357706,0.4172871210742491,-1.5052937332316714,-0.019665587727742816,1.1156665601828017,-0.7839401824335175,-0.0312632871877568,0.24129351563525597
2015/12/01,-0.2591521271127737,0.5574507372074965,-0.8319524253712496,-0.2891772278428372,-1.3942063803086828,-0.9500509872235509,0.47798187276017573,-1.4031990614852416,0.10969027821474328,0.7341907976789553,-0.7839401824335175,-0.012491964440750828,0.14976972178225476
2016/01/01,0.003750106942225949,0.6474700597461867,0.37780486142543646,0.3028456222200838,-1.669399163611423,-0.5680952966485978,0.514365112221567,-1.1230450049129554,-0.08434352069898586,1.000947399719689,-0.9599995860756425,0.001709889977116308,0.00390367532903403
2016/02/01,0.003750106942225949,0.6024603984768414,0.37780486142543646,-0.2905804115635518,-1.9952853543646678,-0.8170167535934887,0.6367550646476711,-1.15631086081879,0.3037240771284724,1.0050938753990772,-0.87196988425458,-0.01501221020640121,0.07826675783459754
2016/03/01,0.003750106942225949,0.5574507372074965,0.37780486142543646,0.003858450731093108,-1.287552717880348,-0.7887335566090774,0.6172780558415901,-1.124874971416824,-0.4077331855552011,0.6406647351327227,-1.048029287896705,-0.03664710214726697,-0.13052189689256152
2016/04/01,-0.1715180490944405,0.5124410759381517,0.056380520230290755,0.19853022643508494,-1.1052194725296145,-0.6094796745662986,0.6269413765139988,-0.9995988212920142,0.045012345243500215,0.813895274627222,-0.9599995860756425,-0.044571499955392224,-0.004676680344684835
2016/05/01,-0.1715180490944405,0.6474700597461867,0.056380520230290755,-0.19482199290298227,-1.1645342077778236,-0.6695367764426704,0.6793191649222803,-1.0217432791064918,-0.019665587727742816,0.8286382992650518,-0.9599995860756425,-0.05716153848356428,0.10400782485575413
2016/06/01,-0.1715180490944405,0.6024603984768414,0.056380520230290755,-0.00029186334327243035,-1.52456085660998,-0.6690200373587755,0.675757414658096,-0.9512935062876073,0.10969027821474328,0.8433813239028817,-0.87196988425458,-0.0678310043055108,0.13832924755062959
2016/07/01,0.003750106942225949,0.6474700597461867,-0.5586776602504474,-0.0016623468176320394,-1.5375963042401102,-0.803566307999435,0.6867332916362853,-0.8799186949457616,-0.08434352069898586,1.0249048147561624,-0.9599995860756425,-0.0673466616579954,0.08684711350831639
2016/08/01,0.003750106942225949,0.6024603984768414,-0.5586776602504474,-0.2943715747421758,-1.5295987107665527,-0.6843107454610975,0.9188475809592508,-0.8175491879116542,-0.08434352069898586,0.9295358741302002,-0.9599995860756425,-0.050338479908791214,0.12974889187691072
2016/09/01,0.003750106942225949,0.5574507372074965,-0.5586776602504474,-0.10070785594053773,-1.394896086532499,-0.36962014937449106,0.7755827709537608,-0.588718525911658,0.045012345243500215,0.9442788987680301,-0.87196988425458,-0.033023341355177184,0.34425778371988236
2016/10/01,-0.05467261173666285,0.6024603984768414,-1.1641070273812528,0.4792325073747566,-0.953897927024299,-0.28205007969946333,0.5819612881222735,-0.48324853376841803,-0.21369938664147195,0.9530325696467408,-0.87196988425458,-0.026054332198501354,0.33853754660406976
2016/11/01,-0.05467261173666285,0.6924797210155315,-1.1641070273812528,-0.2965105074220395,-0.5048991753198283,-0.28306528156654004,0.6076799681119361,-0.3759132651937271,-0.019665587727742816,0.8691816170190844,-1.048029287896705,-0.014905380099762637,0.21841256717200566
2016/12/01,-0.05467261173666285,0.6924797210155315,-1.1641070273812528,-0.2968453660250043,-0.17549548282511937,-0.04929981556845135,0.7168901809684459,-0.05549639843148848,0.3037240771284724,1.0967770598655822,-0.7839401824335175,0.0045449262050620476,0.26417446409850626
2017/01/01,-0.06927829140638507,0.6924797210155315,0.9147732704051134,0.2798950913857333,0.044038008215637484,0.24387191656742876,0.8221126550701947,0.2128699048247254,-0.14902145367022893,0.8000736890292577,-0.7839401824335175,0.03781551473650861,0.4043202734359144
2017/02/01,-0.06927829140638507,0.7374893822848767,0.9147732704051134,-0.10648398917586545,0.06561129289006318,0.4352193933026423,0.8424849188872462,0.3911395403120526,-0.08434352069898586,0.8912961539758283,-0.7839401824335175,0.04851307943245158,0.22985304140363083
